x,y,z,r,g,b
93,61,0.14276814,68,64,81
94,61,0.16899486,62,56,78
95,61,0.17523299,89,85,106
96,61,0.15040478,73,73,92
92,62,0.17060612,65,60,79
93,62,0.2219139,31,24,51
94,62,0.23957941,51,43,74
95,62,0.24109063,56,50,82
96,62,0.2234058,33,34,69
97,62,0.17140424,85,88,113
90,63,0.17826128,84,82,87
91,63,0.2184976,56,55,73
92,63,0.2518048,33,33,68
93,63,0.2759179,56,56,101
94,63,0.28503165,58,59,114
95,63,0.27948645,44,47,106
96,63,0.2627348,41,44,104
97,63,0.23415844,47,51,107
98,63,0.1761496,80,83,117
89,64,0.20222263,81,79,77
90,64,0.26714873,48,52,62
91,64,0.2928409,36,42,74
92,64,0.30746529,43,57,110
93,64,0.3186979,38,54,133
94,64,0.32343778,28,47,146
95,64,0.31441033,31,50,156
96,64,0.29301882,36,49,154
97,64,0.26909703,24,36,132
98,64,0.24160412,37,48,125
99,64,0.186626,82,88,128
88,65,0.20729509,82,77,79
89,65,0.28213978,71,69,79
90,65,0.31682408,31,37,62
91,65,0.33570993,31,42,88
92,65,0.3484585,38,55,126
93,65,0.35487524,29,52,147
94,65,0.3556279,19,48,163
95,65,0.34439406,25,52,176
96,65,0.3205399,22,44,168
97,65,0.29648468,21,40,154
98,65,0.2793156,26,41,133
99,65,0.255652,65,78,141
100,65,0.180591,79,83,105
87,66,0.20871656,86,81,86
88,66,0.28360006,48,43,65
89,66,0.3244123,40,40,74
90,66,0.34973085,36,41,88
91,66,0.36825344,38,49,114
92,66,0.38060224,34,52,133
93,66,0.3857059,23,47,142
94,66,0.3847891,19,47,151
95,66,0.3723526,23,51,164
96,66,0.3482586,18,42,160
97,66,0.32401186,22,43,153
98,66,0.30459002,21,38,130
99,66,0.28482443,23,38,111
100,66,0.22849365,67,73,117
86,67,0.20598216,79,77,81
87,67,0.28332353,39,38,57
88,67,0.32572445,38,38,80
89,67,0.35451746,43,45,104
90,67,0.3773791,44,52,125
91,67,0.3943611,38,50,133
92,67,0.40664607,26,47,137
93,67,0.41355792,21,44,140
94,67,0.4125826,22,49,146
95,67,0.39910585,23,51,150
96,67,0.37448442,18,44,153
97,67,0.34731495,16,41,148
98,67,0.3230606,18,41,135
99,67,0.3014227,12,29,110
100,67,0.268066,28,41,102
101,67,0.19870028,78,83,114
85,68,0.19929656,77,79,77
86,68,0.2768754,34,40,54
87,68,0.32376,36,41,77
88,68,0.35575205,37,43,104
89,68,0.38069972,38,47,129
90,68,0.40016198,36,45,142
91,68,0.4158717,24,39,143
92,68,0.42895234,23,41,144
93,68,0.43856102,28,50,145
94,68,0.43798953,29,54,142
95,68,0.42229217,22,50,140
96,68,0.39467347,23,51,149
97,68,0.36284626,10,39,140
98,68,0.3353777,23,47,142
99,68,0.31534696,28,48,136
100,68,0.29518315,16,31,104
101,68,0.26171342,47,57,112
102,68,0.1804788,66,68,91
84,69,0.19551876,71,73,76
85,69,0.26773384,26,37,49
86,69,0.314828,32,40,74
87,69,0.3527494,43,57,111
88,69,0.38198784,34,47,130
89,69,0.40365696,33,45,147
90,69,0.42047334,25,41,154
91,69,0.43489033,19,39,153
92,69,0.44791353,24,44,151
93,69,0.45793295,32,54,148
94,69,0.45620772,26,52,135
95,69,0.43774658,12,42,125
96,69,0.40715006,25,55,145
97,69,0.37254813,8,41,139
98,69,0.34432408,22,49,146
99,69,0.3260157,37,58,149
100,69,0.30893493,18,34,121
101,69,0.28821453,15,25,102
102,69,0.23050322,65,68,121
83,70,0.20493557,77,77,83
84,70,0.2705102,24,28,48
85,70,0.3091443,22,31,66
86,70,0.3442777,44,60,113
87,70,0.37712824,28,45,121
88,70,0.40420252,32,50,146
89,70,0.42438245,28,49,157
90,70,0.43935373,26,47,164
91,70,0.45180255,22,45,162
92,70,0.46281105,25,47,155
93,70,0.46967736,25,49,147
94,70,0.46466777,22,45,133
95,70,0.44453815,13,40,122
96,70,0.41376188,19,52,140
97,70,0.38079563,15,47,140
98,70,0.35306183,15,43,143
99,70,0.3340658,19,43,144
100,70,0.31852227,17,37,137
101,70,0.3035296,11,23,115
102,70,0.27276808,38,44,120
103,70,0.20107366,64,66,105
82,71,0.2175414,79,76,85
