x,y,z,r,g,b
90,19,0.13385428,136,120,110
91,19,0.13110033,132,116,102
89,20,0.14850806,119,109,102
90,20,0.20409316,140,118,107
91,20,0.20026283,121,97,86
92,20,0.15331358,139,123,116
89,21,0.18078801,146,129,123
90,21,0.23114942,133,103,95
91,21,0.23030098,123,93,88
92,21,0.20780946,147,122,116
93,21,0.1692782,141,122,118
94,21,0.12052652,114,101,97
89,22,0.18240298,156,134,131
90,22,0.23263483,123,90,85
91,22,0.23707247,140,107,103
92,22,0.22474356,140,108,108
93,22,0.20472525,135,105,103
94,22,0.16444567,136,109,109
89,23,0.17351791,163,138,133
90,23,0.22106478,109,73,70
91,23,0.23024209,153,115,113
92,23,0.22548993,140,100,106
93,23,0.21302599,123,88,91
94,23,0.19474511,118,85,87
95,23,0.14011748,115,102,99
89,24,0.16144764,159,130,125
90,24,0.20526338,135,96,94
91,24,0.21756412,135,93,93
92,24,0.22353466,113,71,76
93,24,0.22081858,112,71,76
94,24,0.21502347,101,67,69
95,24,0.17087746,127,108,105
89,25,0.15465394,161,132,127
90,25,0.19664572,125,86,82
91,25,0.2126345,124,79,80
92,25,0.22679205,105,63,66
93,25,0.22994426,100,63,64
94,25,0.22524463,100,64,65
95,25,0.17889743,138,118,115
89,26,0.15674117,162,132,124
90,26,0.20050354,113,73,68
91,26,0.22001155,110,67,66
92,26,0.23612604,98,57,54
93,26,0.23763525,91,52,50
94,26,0.22076134,111,76,73
95,26,0.15780339,139,125,120
89,27,0.16359687,161,131,121
90,27,0.21090999,109,71,63
91,27,0.23181775,101,63,54
92,27,0.24513409,96,55,50
93,27,0.24105704,91,55,49
94,27,0.20013489,138,107,99
89,28,0.17336795,161,131,118
90,28,0.22259596,111,76,65
91,28,0.24210592,99,60,50
92,28,0.2508302,90,55,43
93,28,0.24335128,101,69,55
94,28,0.19314274,161,136,123
89,29,0.19594836,155,128,113
90,29,0.23643325,113,78,67
91,29,0.25116768,95,63,44
92,29,0.25414267,87,54,40
93,29,0.24461243,118,88,70
94,29,0.19243963,166,147,135
88,30,0.16753815,134,122,111
89,30,0.23575506,142,117,98
90,30,0.25439212,109,76,60
91,30,0.26087064,92,58,38
92,30,0.25531912,90,56,38
93,30,0.23395489,139,114,93
94,30,0.16527797,141,130,118
88,31,0.20258325,150,135,122
89,31,0.26078913,136,106,88
90,31,0.2703723,106,73,53
91,31,0.27002013,89,57,36
92,31,0.25661397,94,64,42
93,31,0.21096148,150,129,108
88,32,0.20808505,156,136,124
89,32,0.26658243,132,98,81
90,32,0.27766573,105,69,52
91,32,0.27622563,93,60,44
92,32,0.2613814,97,73,52
93,32,0.20488831,156,141,125
88,33,0.20602067,166,141,130
89,33,0.26300442,127,90,74
90,33,0.27586338,109,73,56
91,33,0.27671146,93,60,44
92,33,0.2638135,108,86,66
93,33,0.20461388,140,133,118
88,34,0.20209497,169,142,133
89,34,0.2563287,117,80,68
90,34,0.26931027,113,78,67
91,34,0.27052847,91,59,44
92,34,0.250006,124,103,87
93,34,0.17569469,123,118,108
88,35,0.19973378,170,143,133
89,35,0.25207585,110,73,59
90,35,0.26456884,116,81,69
91,35,0.26412517,89,57,42
92,35,0.2213521,139,118,102
88,36,0.20009518,170,143,132
89,36,0.25280637,107,72,58
90,36,0.26536322,116,81,69
91,36,0.26501623,90,58,43
92,36,0.21232192,147,129,114
88,37,0.20168597,166,139,127
89,37,0.25633097,108,73,59
90,37,0.26897696,114,79,67
91,37,0.26849654,99,69,53
92,37,0.21357939,147,131,117
88,38,0.20349279,160,132,120
89,38,0.2600182,110,75,64
90,38,0.27054334,111,78,66
91,38,0.25750947,112,85,71
92,38,0.18513583,131,118,110
88,39,0.20568773,153,124,113
89,39,0.2638811,110,75,64
90,39,0.2708314,109,76,65
91,39,0.22912516,121,95,81
88,40,0.20918941,144,116,105
89,40,0.26852322,113,80,68
90,40,0.2733516,99,67,53
91,40,0.21774256,130,103,91
88,41,0.2163137,142,114,101
89,41,0.27442473,113,80,69
90,41,0.27627403,101,69,55
91,41,0.21783039,132,107,93
88,42,0.23872572,138,107,97
89,42,0.2828454,114,80,72
90,42,0.27906433,103,72,60
91,42,0.21840012,135,112,100
87,43,0.20053883,128,117,110
88,43,0.28120813,130,102,91
89,43,0.2952047,116,82,73
90,43,0.28268686,106,74,64
91,43,0.21899334,139,116,105
87,44,0.23982248,130,118,111
88,44,0.30698892,125,98,87
89,44,0.30708465,117,86,75
90,44,0.28743005,106,74,64
91,44,0.22027151,140,118,107
87,45,0.24825194,132,121,113
88,45,0.31622204,123,96,85
89,45,0.31539783,119,88,77
90,45,0.2927893,103,72,60
91,45,0.22298974,141,119,108
87,46,0.2521686,140,129,120
88,46,0.32078186,123,96,85
89,46,0.32086983,121,90,79
90,46,0.29846695,100,69,57
91,46,0.22718745,141,119,108
87,47,0.2531325,150,138,131
88,47,0.32134295,122,96,87
89,47,0.32289672,119,91,82
90,47,0.30267662,94,68,57
91,47,0.23113225,140,122,112
87,48,0.2497257,153,138,132
88,48,0.31663454,118,96,89
89,48,0.32011434,113,91,84
90,48,0.3029527,91,71,60
91,48,0.2324272,131,117,107
87,49,0.24425521,159,142,140
88,49,0.30873662,120,97,96
89,49,0.3141084,117,96,92
90,49,0.30052763,97,79,74
91,49,0.23229977,131,119,111
87,50,0.23903847,162,146,146
88,50,0.30149007,109,88,88
89,50,0.30930692,107,88,88
90,50,0.29979312,94,77,76
91,50,0.233109,124,114,110
87,51,0.23565552,161,143,144
88,51,0.29908192,105,86,89
89,51,0.31110328,103,87,87
90,51,0.3052426,91,77,77
91,51,0.23905794,117,108,105
87,52,0.23446529,157,144,147
88,52,0.3014894,108,95,100
89,52,0.31888622,103,93,94
90,52,0.31741393,94,88,85
91,52,0.26293892,108,107,101
87,53,0.23565093,151,146,144
88,53,0.30618072,92,87,86
89,53,0.32834658,90,89,84
90,53,0.33313832,86,90,81
91,53,0.30746225,93,99,91
92,53,0.21607007,110,116,109
87,54,0.2532645,133,142,134
88,54,0.31292436,73,85,72
89,54,0.33589974,80,94,80
90,54,0.34509,86,99,84
